Vert,Dens,Min(ms),Max(ms),Average(ms),Standard deviation(ms)
20,60,0.559,0.616,0.582,0.017
20,70,0.539,0.591,0.560,0.013
20,80,0.527,0.586,0.557,0.017
20,90,0.531,0.571,0.543,0.010
20,100,0.517,0.570,0.542,0.015
30,60,1.811,1.925,1.862,0.034
30,70,1.800,1.886,1.834,0.029
30,80,1.779,2.039,1.878,0.061
30,90,1.735,1.826,1.778,0.025
30,100,1.723,3.290,2.208,0.667
40,60,4.158,6.614,4.392,0.528
40,70,4.110,4.340,4.219,0.060
40,80,4.113,4.327,4.192,0.062
40,90,3.998,4.274,4.138,0.062
40,100,4.039,5.071,4.165,0.222
50,60,8.038,8.405,8.199,0.112
50,70,8.017,8.817,8.204,0.179
50,80,8.020,8.597,8.235,0.156
50,90,7.870,8.612,8.052,0.166
50,100,7.934,32.263,13.298,8.024
60,60,13.870,28.090,16.657,3.743
60,70,13.882,17.514,14.731,0.886
60,80,13.711,19.942,14.431,1.363
60,90,13.691,14.351,14.024,0.193
60,100,13.502,14.703,14.072,0.380
70,60,22.467,23.310,22.799,0.249
70,70,21.842,23.296,22.530,0.485
70,80,22.064,34.481,23.668,2.572
70,90,22.792,23.438,23.008,0.152
70,100,22.709,23.214,23.023,0.165
80,60,32.422,36.159,33.208,1.014
80,70,32.196,33.306,32.545,0.274
80,80,32.042,38.484,33.359,1.622
80,90,32.424,60.314,35.644,5.861
80,100,33.998,34.939,34.356,0.245
90,60,48.709,50.492,49.295,0.428
90,70,48.675,49.970,49.174,0.348
90,80,48.383,50.924,48.973,0.549
90,90,48.132,50.242,48.815,0.524
90,100,45.202,50.534,48.798,1.679
100,60,63.004,67.984,65.990,1.606
100,70,63.340,67.608,66.678,0.983
100,80,64.098,68.360,66.821,0.977
100,90,63.220,67.615,66.179,1.160
100,100,63.444,67.253,66.400,0.794
110,60,84.600,90.286,89.026,1.324
110,70,85.974,89.998,88.748,1.133
110,80,85.493,89.988,88.597,1.217
110,90,84.789,89.875,88.364,1.166
110,100,84.297,91.549,87.846,1.637
120,60,110.935,117.220,115.483,1.513
120,70,110.589,117.286,115.272,1.432
120,80,107.859,116.137,113.456,2.854
120,90,110.573,116.446,114.837,1.340
120,100,109.787,116.139,114.154,1.863
130,60,137.898,148.337,143.791,4.164
130,70,142.385,147.587,146.185,1.446
130,80,137.276,161.471,146.423,5.070
130,90,141.807,156.081,147.152,3.432
130,100,141.990,151.392,146.104,2.065
140,60,179.872,186.378,184.124,1.719
140,70,175.506,186.510,182.697,2.676
140,80,172.946,205.165,184.022,6.590
140,90,177.608,185.507,182.649,2.462
140,100,176.997,185.623,182.184,2.312
150,60,211.357,287.344,230.494,19.928
150,70,220.889,270.788,231.739,10.836
150,80,214.402,386.645,252.851,40.905
150,90,219.664,443.280,319.274,79.975
150,100,220.454,327.368,247.535,25.813
160,60,302.715,419.287,336.051,34.106
160,70,267.555,333.818,290.663,20.334
160,80,266.978,332.282,281.086,15.140
160,90,265.269,328.625,287.241,20.038
160,100,265.471,327.351,284.118,16.955
170,60,309.800,369.653,332.626,14.983
170,70,319.730,342.644,330.900,6.744
170,80,317.187,346.297,330.978,6.923
170,90,310.531,347.121,328.323,10.795
170,100,304.696,352.697,328.712,11.499
180,60,368.688,403.754,386.723,12.253
180,70,366.598,407.381,389.254,11.959
180,80,377.313,428.678,395.396,10.894
180,90,365.408,419.174,391.703,15.544
180,100,371.793,449.171,392.715,17.230
190,60,449.507,566.619,492.592,40.121
190,70,441.028,487.612,463.878,9.402
190,80,442.850,492.834,464.400,12.155
190,90,433.164,469.441,457.329,10.661
190,100,438.769,481.066,455.909,12.814
200,60,519.331,554.547,532.522,9.967
200,70,508.673,566.706,535.554,23.858
200,80,515.173,587.950,540.247,17.795
200,90,531.505,766.460,591.227,60.162
200,100,514.309,754.813,595.201,74.904
